trial_number,date,female,female_sodium,mating_male,mating_male_treatment,combination_treatment,non-mating_male,non-mating_male_treatment,start_time,mating_begins,mating_ends,time_before_copulation,copulation_duration,duration_rounded,abdomen_bends_in_first_ten_minutes,oviposition_1,c1_size_(mm),c1_hatch,c1_hatching_number,oviposition_2,c2_size_(mm),c2_hatch,C2_hatch_num,oviposition_3,c3_size_(mm),c3_hatch,c3_hatch_num,oviposition_4,c4_size_(mm),c4_hatch,c4_hatch_num,oviposition_5,c5_size_(mm),c5_hatch,c5_hatch_num,,,,,
1,7-VI-2023,NS10,low,HS30,high,low_high,NS36,low,0m 00s,24m 00s,53m 00s,24,29m 31s,29.5,1,7-VI-2023,7x8,16-VI-2023,195,8-VI-2023,8x5,123,,,,,,,,,,,,,,,,,,
2,8-VI-2023,HS10,high,NS23,low,high_low,HS34,high sodium,0m 00s,0m 46s,32m 00s,1,31m 14s,31,1,8-VI-2023,9x6,15-VI-2023,224,,,,,,,,,,,,,,,,,,,,,
3,8-VI-2023,NS01,low,NS22,low,low_low,HS19,low,7m 00s,46m 25s,1h 16m 08s,39.5,29m 43s,30,0,8-VI-2023,NA,14-VI-2023,191,9-VI-2023,12x7,DNH,0,10-VI-2023,7x6,17.VIII.2023,233,11-VI-2023,7x6,DNH,0,12-VI-2023,7x5,DNH,0,,,,,
5,9-VI-2023,HS28,high,HS03,high,high_high,NS02,low,0m 00s,0m 21s,30m 56s,0.5,30m 35s,31,1,9-VI-2023,7x6,DNH,0,10-VI-23,9x5,18-VI-2023,96,11-VI-2023,10x5,16-VI-2023,19,,,,96,,,,,,,,,
7,11-VI-2023,HS39,low,NS67,low,low_low,HS61,low,0m 00s,6m 14s,50m 00s,6,43m 46s,44,2,NA (died),NA,,,NA,NA,,,,,,,,,,,,,,,,,,,
8,11-VI-2023,NS33,low,NS49,low,low_low,HS65,low,10m 00s,35m 50s,1hr 18m 00s,26,42m 10s,42,0,11-VI-2023,8x8,17-VI-2023,12,12-VI-2023,7x8,23-VI-2023,209,14-VI-2023,7x6,24-VI-2023,82,,,,,,,,,,,,,
9,11-VI-2023,NS15,low,NS47,low,low_low,HS54,low,22m 00s,1hr 24m 00s,2hr 2m 00s,62,38m 00s,38,0,11-VI-2023,7x1,23-VI-2023,4,12-VI-2023,8x5,27-VI-2023,50,13-VI-2023,3x3,27-VI-2023,24,,,,,,,,,,,,,
10,11-VI-2023,NS31,low,HS67,high,low_low,NS69,low,0m 00s,1hr 0m 00s,1 hr 30m 00s,60,30m 00s,30,0,11-VI-2023,9x5,18-VI-2023,214,12-VI-2023,11x4,20-VI-2023,11,14-VI-2023,8x6,17-VI-2023,144,15-VI-2023,NA,28-VI-2023,30,,,,,,,,,
13,12-VI-2023,HS47,high,NS77,low,high_high,HS79,low,0m 00s,24m 30s,1hr 4m 00s,24.5,39m 30s,39.5,0,14-VI-2023,5x2,,,,,,,,,,,,,,,,,,,,,,,
14,12-VI-2023,NS16,low,NS58,low,low_low,HS55,low,11m 00s,1hr 41m 00s,,90,NA,NA,0,13-VI-2023,11x8,DNH,0,14-VI-2023,7x4,25-VI-2023,,,,,,,,,,,,,,,,,,
16,12-VI-2023,NS48,low,HS8,high,low_high,NS9,low,35m 00s,52m 30s,1hr 38m,17.5,45m 30s,45.5,0,14-VI-2023,9x6,27-VI-2023,20,,,,,,,,,,,,,,,,,,,,,
18,12-VI-2023,NS37,low,NS65,low,low_low,HS58,low,1hr 1m 00s,1hr 35m 00s,2hr 6m 00s,24,41m 00s,41,3 each,,,,,,,,,,,,,,,,,,,,,,,,,
22,14-VI-2023,NS21,low,HS76,high,low_high,NS90,low,13m 00s,30m 05s,1hr 02m,17,31m 55s,32,3,15-VI-2023,9X4,28-VI-2023,124,16-VI-2023,7x5,25-VI-2023,46,17-VI-2023,5x3,28-VI-2023,5,,,,,,,,,,,,,
23,14-VI-2023,HS46,high,NS70,low,high_low,HS82,low,31m 00s,48m 30s,1hr 22m 00s,17.5,33m 30s,33.5,0,NA,NA,23-VI-2023,86,NA,NA,DNH,0,17-VI-2023,NA,,14,,,,,,,,,,,,,
